date;IMOEX
12.09.2016;2019,9
13.09.2016;2004,5
14.09.2016;2004,48
15.09.2016;1996,58
16.09.2016;1981,96
19.09.2016;1986,97
20.09.2016;1991,78
21.09.2016;1997,67
22.09.2016;2025,3
23.09.2016;2011,83
26.09.2016;1997,94
27.09.2016;1975,52
28.09.2016;1980,68
29.09.2016;1996,12
30.09.2016;1978
03.10.2016;1986,8
04.10.2016;1985,02
05.10.2016;1975,85
06.10.2016;1983,88
07.10.2016;1980,02
10.10.2016;2001,1
11.10.2016;2001,42
12.10.2016;1993,35
13.10.2016;1976,37
14.10.2016;1966,39
17.10.2016;1956,95
18.10.2016;1969,11
19.10.2016;1967,5
20.10.2016;1957,09
21.10.2016;1957,7
24.10.2016;1962,79
25.10.2016;1977,19
26.10.2016;1974,81
27.10.2016;1979,8
28.10.2016;1981,76
31.10.2016;1989,64
01.11.2016;1996,87
02.11.2016;1968,77
03.11.2016;1962,71
07.11.2016;1952,69
08.11.2016;1967,93
09.11.2016;2011,58
10.11.2016;2044,03
11.11.2016;2031,92
14.11.2016;2021,99
15.11.2016;2017,06
16.11.2016;2028,92
17.11.2016;2042,76
18.11.2016;2038,29
21.11.2016;2058,77
22.11.2016;2066,18
23.11.2016;2085,75
24.11.2016;2102,97
25.11.2016;2098,15
28.11.2016;2094,65
29.11.2016;2086,84
30.11.2016;2104,91
01.12.2016;2121,87
02.12.2016;2128,99
05.12.2016;2158,33
06.12.2016;2152,35
07.12.2016;2160,51
08.12.2016;2207,02
09.12.2016;2208,53
12.12.2016;2226,89
13.12.2016;2247,02
14.12.2016;2229,05
15.12.2016;2237,23
16.12.2016;2231,41
19.12.2016;2215,69
20.12.2016;2226,36
21.12.2016;2212,33
22.12.2016;2174,64
23.12.2016;2173,18
26.12.2016;2177,86
27.12.2016;2189,43
28.12.2016;2182,98
29.12.2016;2206,33
30.12.2016;2232,72
03.01.2017;2285,43
04.01.2017;2263,9
05.01.2017;2220,35
06.01.2017;2213,93
09.01.2017;2211,25
10.01.2017;2237,49
11.01.2017;2218,61
12.01.2017;2212
13.01.2017;2195,19
16.01.2017;2189,07
17.01.2017;2178,73
18.01.2017;2170,09
19.01.2017;2162,25
20.01.2017;2159,96
23.01.2017;2146,09
24.01.2017;2174,59
25.01.2017;2176
26.01.2017;2229,2
27.01.2017;2266,05
30.01.2017;2234,14
31.01.2017;2217,39
01.02.2017;2231,68
02.02.2017;2217,56
03.02.2017;2226,61
06.02.2017;2210,51
07.02.2017;2218,77
08.02.2017;2189,61
09.02.2017;2173,98
10.02.2017;2162,19
13.02.2017;2161,49
14.02.2017;2141,5
15.02.2017;2137,08
16.02.2017;2148,48
17.02.2017;2128,21
20.02.2017;2119,09
21.02.2017;2127,72
22.02.2017;2106,3
24.02.2017;2093,09
27.02.2017;2056,46
28.02.2017;2035,77
01.03.2017;2059,87
02.03.2017;2049
03.03.2017;2056,89
06.03.2017;2047,42
07.03.2017;2024,84
09.03.2017;1974,24
10.03.2017;1973,96
13.03.2017;2000,14
14.03.2017;2001,25
15.03.2017;1992,59
16.03.2017;2014,37
17.03.2017;2036,96
20.03.2017;2042,72
21.03.2017;2048,07
22.03.2017;2061,53
23.03.2017;2051,04
24.03.2017;2039,77
27.03.2017;2013,16
28.03.2017;2032,54
29.03.2017;2023,71
30.03.2017;2021,88
31.03.2017;1995,9
03.04.2017;2008,61
04.04.2017;2025,69
05.04.2017;2056,32
06.04.2017;2054,69
07.04.2017;2020,23
10.04.2017;1971,23
11.04.2017;1977,95
12.04.2017;1947,88
13.04.2017;1944,7
14.04.2017;1916,29
17.04.2017;1942,72
18.04.2017;1920,29
19.04.2017;1916,5
20.04.2017;1932,17
21.04.2017;1944,72
24.04.2017;1979,57
25.04.2017;1998,41
26.04.2017;2026,92
27.04.2017;2011,67
28.04.2017;2016,71
02.05.2017;2026,85
03.05.2017;1993,66
04.05.2017;1998,87
05.05.2017;2002,41
10.05.2017;2028,21
11.05.2017;2002,54
12.05.2017;1994,58
15.05.2017;2003,12
16.05.2017;1992,94
17.05.2017;1994,35
18.05.2017;1967,66
19.05.2017;1962,4
22.05.2017;1950,51
23.05.2017;1960,16
24.05.2017;1951,98
25.05.2017;1947,26
26.05.2017;1934,25
29.05.2017;1940,77
30.05.2017;1932,91
31.05.2017;1900,38
01.06.2017;1869,66
02.06.2017;1881,87
05.06.2017;1877,69
06.06.2017;1870,04
07.06.2017;1868,42
08.06.2017;1874,21
09.06.2017;1883,34
13.06.2017;1861,27
14.06.2017;1838,32
15.06.2017;1817,82
16.06.2017;1822,91
19.06.2017;1849,78
20.06.2017;1857,96
21.06.2017;1850,81
22.06.2017;1860,05
23.06.2017;1867,46
26.06.2017;1860,39
27.06.2017;1878,94
28.06.2017;1891,98
29.06.2017;1881,04
30.06.2017;1879,5
03.07.2017;1902,59
04.07.2017;1917,4
05.07.2017;1921,38
06.07.2017;1923,22
07.07.2017;1912,48
10.07.2017;1925,74
11.07.2017;1937,64
12.07.2017;1954,39
13.07.2017;1959,91
14.07.2017;1960,69
17.07.2017;1959,11
18.07.2017;1947,71
19.07.2017;1951,89
20.07.2017;1946,51
21.07.2017;1925,13
24.07.2017;1931,75
25.07.2017;1923,73
26.07.2017;1933,1
27.07.2017;1945,12
28.07.2017;1916,75
31.07.2017;1919,53
01.08.2017;1940,14
02.08.2017;1965,48
03.08.2017;1965,29
04.08.2017;1953,49
07.08.2017;1970,37
08.08.2017;1989,61
09.08.2017;1975,91
10.08.2017;1960,23
11.08.2017;1944,83
14.08.2017;1951,75
